Sales record number,Order number,Buyer username,Buyer postcode,Item number,Item title,Sold via Promoted listings,Quantity,Sold for,Sale date,Brand,Discount_Percentage,Product_Category,Product_Size,Unit_Size,Pack_Count,Total_Size,Is_Multipack,Total_Units
5351.0,19-11509-83392,user_05e59ec6,S2,item_unknown,,,5.0,£33.85,28-May-24,Other,20,Other,standard,unknown,1,unknown,False,5.0
5408.0,20-11522-85263,user_d97a5a09,DN32,item_7a8580cf2e,Kojie San Soap Skin Lightening & Brightening - 65gx2/65gx3/135g/135gx2/100gx3[65g x 2],No,1.0,£6.80,31-May-24,Kojie San,0,Soap,135grams,65g,2,130g,True,2.0
8253.0,13-12281-80735,user_cbf1317f,LE3,item_5902cabe75,Gluta-C Kojic Plus Lightening Soap with Glutathione & Vitamin C - 60g,Yes,1.0,£7.78,01-Dec-24,Gluta-C,0,Soap,60grams,60g,1,60g,False,1.0
3203.0,13-10871-66825,user_352971c4,N19,item_cb9aa5b976,Silka GREEN Papaya Soap 135g - Skin Lightening & Brightening,Yes,1.0,£6.73,29-Dec-23,Silka,0,Soap,135grams,135g,1,135g,False,1.0
1227.0,10-10245-73091,user_cdb1a9e3,NW11,item_unknown,,,2.0,£21.68,29-Jul-23,Other,10,Other,standard,unknown,1,unknown,False,2.0
5905.0,20-11646-13819,user_4616130f,CO1,item_c1b6da5f5f,Silka Papaya Lotion 500ml (Large Size) - Skin Brightening,No,1.0,£13.21,30-Jun-24,Silka,0,Lotion,500ml,500ml,1,500ml,False,1.0
7284.0,02-12014-95998,user_16cf7431,SM1,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,Yes,1.0,£8.93,25-Sep-24,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
7407.0,22-12017-70417,user_039aceb8,BS32,item_c1b6da5f5f,Extract Papaya Calamansi Lotion SPF10 200ml - Philippines - Skin Lightening,No,1.0,£10.96,30-Sep-24,Extract,0,Lotion,200ml,200ml,1,200ml,False,1.0
852.0,01-10021-12969,user_faa4bdd8,BN11,item_5a717cb29a,"Pond's Magic BB Powder 50g - Oil, Spot, Blemish Control",No,1.0,£8.61,29-May-23,Other,0,Powder,50grams,50g,1,50g,False,1.0
8365.0,15-12321-77269,user_2958c555,W12,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,No,2.0,£8.16,11-Dec-24,Kojie San,10,Soap,100grams,100g,3,300g,True,6.0
7250.0,19-11986-64221,user_4f894586,N1,item_8401f02621,Gluta-C Papaya Glutathione Face & Body Soap 135g x 2 (Duo Pack) -Skin Lightening,Yes,1.0,£13.40,22-Sep-24,Gluta-C,0,Face Wash,135grams,135g,2,270g,True,2.0
5789.0,27-11615-93003,user_71c3ab7d,XX1,item_5902cabe75,Gluta-C Papaya Glutathione Face & Body Soap 135g - Skin Lightening & Brightening,No,1.0,£8.54,25-Jun-24,Gluta-C,0,Face Wash,135grams,135g,1,135g,False,1.0
6794.0,20-11871-43327,user_51d8ad3e,CF48,item_138b01e643,CreamSilk Standout Straight Conditioner 180ml - Cream Silk,Yes,1.0,£9.90,25-Aug-24,Other,0,Conditioner,180ml,180ml,1,180ml,False,1.0
5963.0,05-11671-09563,user_0f95afd4,CV6,item_447b94f791,Glutamax Glutathione Soap (Double Pack) 135g x 2 - Skin Lightening & Brightening,Yes,1.0,£12.98,03-Jul-24,GlutaMax,0,Soap,135grams,135g,2,270g,True,2.0
6713.0,22-11847-93089,user_eafc80ff,SE12,item_e66dec75b7,Kojie San Body Wash 300ml  - Lightening & Brightening with Hydromoist,Yes,2.0,£9.59,20-Aug-24,Kojie San,10,Face Wash,300ml,300ml,1,300ml,False,2.0
1104.0,21-10164-19165,user_7d77fb42,SS9,item_bd51f53a11,Kojie San Soap 45g - Travel Size - Skin Brightening & Lightening,No,3.0,£4.24,09-Jul-23,Kojie San,15,Soap,45grams,45g,1,45g,False,3.0
3972.0,25-11114-34687,user_05b5e008,M14,item_812f83cac0,Kojie San Soap 65g x 3 (Triple Pack) - Skin Brightening & Lightening,Yes,1.0,£6.34,26-Feb-24,Kojie San,0,Soap,65grams,65g,3,195g,True,3.0
2992.0,19-10792-94235,user_bdb2e754,ch66,item_0195bf47b0,Johnson's MORNING DEW Baby Cologne 125ml,Yes,2.0,£6.55,12-Dec-23,Other,10,Cologne,125ml,125ml,1,125ml,False,2.0
5548.0,11-11567-97785,user_afd7b5a3,B9,item_0a0d6e1866,Johnson's HEAVEN Baby Cologne 125ml,Yes,2.0,£7.30,09-Jun-24,Other,10,Cologne,125ml,125ml,1,125ml,False,2.0
7878.0,24-12170-98621,user_e87dfc33,BB2,item_unknown,,,2.0,£25.27,04-Nov-24,Other,10,Other,standard,unknown,1,unknown,False,2.0
1654.0,27-10416-54544,user_222bd093,ME16,item_c32affdad0,Extract Papaya Calamansi Soap 125g - Lightening & Brightening,No,4.0,£5.42,12-Sep-23,Extract,20,Soap,125grams,125g,1,125g,False,4.0
5771.0,08-11629-30648,user_5f67bfab,WV164BH,item_5902cabe75,Gluta-C Kojic Plus Lightening Soap Glutathione & Vit C - 60g x 2 (Double Pack),Yes,1.0,£9.10,24-Jun-24,Gluta-C,0,Soap,60grams,60g,2,120g,True,2.0
1745.0,12-10457-59806,user_51fa89c6,mk45,item_bbc5f95217,Dr. Kaufmann Sulfur Soap 80g - Dual Skin Protection - Acne & Blemishes,No,1.0,£6.62,20-Sep-23,Other,0,Soap,80grams,80g,1,80g,False,1.0
4256.0,08-11213-85919,user_f502ee8f,B15,item_c32affdad0,Extract Papaya Calamansi Soap 125g - Philippines - Lightening & Brightening,No,2.0,£5.78,18-Mar-24,Extract,10,Soap,125grams,125g,1,125g,False,2.0
4877.0,15-11397-20805,user_10e82145,HA8,item_unknown,,,2.0,£16.29,30-Apr-24,Other,10,Other,standard,unknown,1,unknown,False,2.0
8406.0,23-12330-65029,user_60253ebc,SS13,item_5902cabe75,Gluta-C Kojic Plus Lightening Soap with Glutathione & Vitamin C - 60g,Yes,1.0,£7.50,16-Dec-24,Gluta-C,0,Soap,60grams,60g,1,60g,False,1.0
6465.0,18-11781-58961,user_56ddb393,CB2,item_5902cabe75,Gluta-C Kojic Plus Lightening Soap Glutathione & Vit C - 60g x 2 (Double Pack),Yes,1.0,£8.75,02-Aug-24,Gluta-C,0,Soap,60grams,60g,2,120g,True,2.0
1354.0,24-10321-26339,user_82335a60,CM20,item_c32affdad0,Extract Papaya Calamansi Soap 125g - Lightening & Brightening,Yes,2.0,£5.83,15-Aug-23,Extract,10,Soap,125grams,125g,1,125g,False,2.0
5650.0,14-11585-85130,user_998ad56a,M33,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,Yes,1.0,£8.30,15-Jun-24,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
3362.0,17-10933-41036,user_63a409d5,se5,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,Yes,1.0,£8.89,11-Jan-24,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
7455.0,03-12052-82437,user_a5b7a03a,E18,item_859c8b3c05,Kojie San Soap HYDROMOIST (For Dry Skin) 135g - Skin Brightening & Lightening,Yes,2.0,£6.46,04-Oct-24,Kojie San,10,Soap,135grams,135g,1,135g,False,2.0
815.0,21-09979-10173,user_2971ea63,CH5,item_79530622ca,Silka Papaya Foaming Face Wash 50ml - Cleansing & Brightening  SALE short expiry,No,1.0,£5.85,21-May-23,Silka,0,Face Wash,50ml,50ml,1,50ml,False,1.0
7163.0,12-11976-93002,user_fc6dae24,AB10,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,Yes,1.0,£8.34,18-Sep-24,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
2302.0,05-10608-40778,user_4be73e16,IG1,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,No,1.0,£8.82,27-Oct-23,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
5862.0,20-11639-12688,user_b89dc1e5,E13,item_7a8580cf2e,Kojie San Soap Skin Lightening & Brightening - 65gx2/65gx3/135g/135gx2/100gx3[65g x 3],Yes,1.0,£7.12,29-Jun-24,Kojie San,0,Soap,135grams,65g,2,130g,True,2.0
6537.0,15-11803-01760,user_a0bf9feb,XX1,item_cb9aa5b976,Silka Papaya Lotion with PUMP 500ml (Large Size) - Skin Brightening & Lightening,Yes,1.0,£14.48,06-Aug-24,Silka,0,Lotion,500ml,500ml,1,500ml,False,1.0
1490.0,06-10372-24695,user_cb3756ad,MK42,item_c5c0adf470,Kojie San Soap 135g x 2 (Double Pack) - Skin Brightening & Lightening,No,2.0,£6.75,30-Aug-23,Kojie San,10,Soap,135grams,135g,2,270g,True,4.0
8744.0,20-12472-76104,user_a694812d,TW4,item_bdf6c594ec,Eskinol Calamansi Facial Face Deep Cleanser 225ml - Lightens dark spots,Yes,2.0,£8.42,15-Jan-25,Other,10,Face Wash,225ml,225ml,1,225ml,False,2.0
2874.0,18-10741-90363,user_9b9f6e11,TF5,item_812f83cac0,Kojie San Soap 65g x 3 (Triple Pack) - Skin Brightening & Lightening,Yes,1.0,£6.75,30-Nov-23,Kojie San,0,Soap,65grams,65g,3,195g,True,3.0
1130.0,04-10196-57861,user_1079021d,Cro8rh,item_bbc5f95217,Dr. Kaufmann Sulfur Soap 80g - Dual Skin Protection - Acne & Blemishes,No,1.0,£6.31,15-Jul-23,Other,0,Soap,80grams,80g,1,80g,False,1.0
5640.0,05-11592-34531,user_c283a1d7,HP12,item_914f1c2e5f,Extract Papaya Calamansi Soap 6 x 125g BUNDLE - Philippines - Skin Lightening,Yes,1.0,£30.74,14-Jun-24,Extract,0,Soap,125grams,125g,1,125g,False,1.0
7607.0,17-12086-06677,user_661ce87f,AB10,item_e66dec75b7,Kojie San Body Wash 300ml  - Lightening & Brightening with Hydromoist,Yes,1.0,£10.72,16-Oct-24,Kojie San,0,Face Wash,300ml,300ml,1,300ml,False,1.0
4745.0,19-11359-67172,user_94f136de,SO16,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,Yes,2.0,£7.86,22-Apr-24,Kojie San,10,Soap,100grams,100g,3,300g,True,6.0
5642.0,25-11574-80008,user_a82f0dc1,S2,item_0195bf47b0,Johnson's POWDER MIST Baby Cologne 125ml,Yes,1.0,£7.80,14-Jun-24,Other,0,Powder,125ml,125ml,1,125ml,False,1.0
6845.0,05-11898-81250,user_dffd6172,TS1,item_e66dec75b7,Kojie San Body Lotion 200g - Lightening & Brightening with Hydromoist,No,1.0,£12.85,28-Aug-24,Kojie San,0,Lotion,200grams,200g,1,200g,False,1.0
6878.0,19-11892-93636,user_78594e06,CW1,item_c1b6da5f5f,Extract Papaya Calamansi Lotion SPF10 200ml - Philippines - Skin Brightening,Yes,2.0,£9.66,30-Aug-24,Extract,10,Lotion,200ml,200ml,1,200ml,False,2.0
1307.0,09-10288-99198,user_3717d32f,XX1,item_58ac9ea0e8,Belo Kojic Acid + Tranexamic Acid Face & Neck Cream SPF30 50g - Skin Lightening,No,2.0,£12.47,09-Aug-23,Belo,10,Face Cream,50grams,50g,1,50g,False,2.0
7060.0,11-11949-13561,user_f27743a8,CO3,item_5902cabe75,Belo Intensive Kojic Acid & Tranexamic Acid Bar Soap - 65g x 3 (Triple Pack),Yes,1.0,£9.23,11-Sep-24,Belo,0,Soap,65grams,65g,3,195g,True,3.0
2700.0,13-10704-24456,user_cb6848bf,NN18,item_cb9aa5b976,Silka Papaya Lotion with PUMP 500ml (Large Size) - Skin Brightening & Lightening,No,1.0,£14.10,20-Nov-23,Silka,0,Lotion,500ml,500ml,1,500ml,False,1.0
3933.0,22-11101-61679,user_cfb173e5,DE23,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,Yes,1.0,£8.84,23-Feb-24,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
1529.0,02-10384-71948,user_e73366cb,XX1,item_859c8b3c05,Belo EXFOLIATING Intensive Kojic Acid & Tranexamic Soap - 65g x 2 (Double Pack),Yes,1.0,£9.23,01-Sep-23,Belo,0,Soap,65grams,65g,2,130g,True,2.0
1875.0,10-10489-48124,user_bc3407c3,EH13,item_7a8580cf2e,Kojie San Soap Skin Lightening & Brightening - 65gx2/65gx3/135g/135gx2/100gx3[100g x 3],Yes,1.0,£8.84,28-Sep-23,Kojie San,0,Soap,135grams,65g,2,130g,True,2.0
5475.0,11-11548-32819,user_4f0ed83e,CV239AF,item_0195bf47b0,Johnson's POWDER MIST Baby Cologne 125ml,Yes,1.0,£7.71,04-Jun-24,Other,0,Powder,125ml,125ml,1,125ml,False,1.0
9319.0,15-12728-60101,user_1f78e03f,DL14,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,No,1.0,£8.95,18-Mar-25,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
693.0,03-09863-75359,user_15d90cb5,CM1,item_bd51f53a11,Kojie San Face Cream with SPF15 22g - Lightening & Brightening with Hydromoist,No,1.0,£8.78,19-Apr-23,Kojie San,0,Face Cream,22grams,22g,1,22g,False,1.0
5770.0,04-11632-50399,user_5f67bfab,WV164BH,item_227b3899d9,Gluta-C Intense Lightening Deodorant 40ml - 24H Protection,Yes,1.0,£8.20,24-Jun-24,Gluta-C,0,Sensitive Area Products,40ml,40ml,1,40ml,False,1.0
2048.0,20-10524-96505,user_49462221,IG5,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,No,1.0,£8.68,08-Oct-23,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
1035.0,02-10139-06672,user_42e028da,g728dj,item_bbc5f95217,Dr. Kaufmann Sulfur Soap 80g - Dual Skin Protection - Acne & Blemishes,No,1.0,£6.57,30-Jun-23,Other,0,Soap,80grams,80g,1,80g,False,1.0
1537.0,25-10377-67813,user_d2fcb2ab,LU2,item_c32affdad0,Extract Papaya Calamansi Soap 125g - Lightening & Brightening,No,1.0,£6.43,02-Sep-23,Extract,0,Soap,125grams,125g,1,125g,False,1.0
4640.0,19-11322-98391,user_69992198,M7,item_227b3899d9,Gluta-C Underarm & Bikini Lightening Gel 20ml - Glutathione & Vitamin C,Yes,1.0,£12.43,13-Apr-24,Gluta-C,0,Sensitive Area Products,20ml,20ml,1,20ml,False,1.0
3740.0,23-11043-12449,user_94f136de,SO16,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,No,1.0,£8.09,09-Feb-24,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
797.0,02-09975-23292,user_04323691,SN1,item_c32affdad0,Extract Papaya Calamansi Soap 125g - Lightening & Brightening,No,1.0,£6.53,17-May-23,Extract,0,Soap,125grams,125g,1,125g,False,1.0
5618.0,11-11581-16666,user_0b035b56,ST3,item_0a0d6e1866,Bench Daily Scent BUBBLE POP Cologne 125ml,Yes,1.0,£7.09,13-Jun-24,Other,0,Cologne,125ml,125ml,1,125ml,False,1.0
4977.0,09-11428-29704,user_efe8579f,N17,item_812f83cac0,Kojie San Soap 65g x 3 (Triple Pack) - Skin Brightening & Lightening,Yes,1.0,£6.98,06-May-24,Kojie San,0,Soap,65grams,65g,3,195g,True,3.0
8706.0,20-12453-61655,user_a414effa,OL11,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,No,1.0,£8.88,11-Jan-25,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
5061.0,12-11451-07964,user_67196cff,LL12,item_c1b6da5f5f,Silka Papaya Lotion 500ml (Large Size) - Skin Brightening,No,1.0,£13.90,12-May-24,Silka,0,Lotion,500ml,500ml,1,500ml,False,1.0
4038.0,13-11145-81860,user_525dd427,CV6,item_c1b6da5f5f,Extract Papaya Calamansi Lotion 200ml - Skin Brightening,Yes,1.0,£10.81,03-Mar-24,Extract,0,Lotion,200ml,200ml,1,200ml,False,1.0
6070.0,18-11684-81053,user_ac27ab85,PE11,item_cd5edd1e9e,"Maxi-Peel Zero 50ml - Micro-Exfoliant Fluid - Anti-Acne, Smoothening, Lightening",Yes,2.0,£6.80,09-Jul-24,Maxi-Peel,10,Other,50ml,50ml,1,50ml,False,2.0
1847.0,21-10476-56475,user_9413ae31,1405,item_c1b6da5f5f,Silka Papaya Lotion 500ml (Large Size) - Skin Brightening,Yes,1.0,£13.19,26-Sep-23,Silka,0,Lotion,500ml,500ml,1,500ml,False,1.0
8476.0,25-12354-64842,user_d77382ce,LS7,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,Yes,1.0,£8.54,22-Dec-24,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
6286.0,27-11731-70964,user_412c6919,PO12,item_914f1c2e5f,Extract Papaya Calamansi Soap 6 x 125g BUNDLE - Philippines - Skin Lightening,Yes,1.0,£30.24,23-Jul-24,Extract,0,Soap,125grams,125g,1,125g,False,1.0
3249.0,13-10886-62880,user_f14ba1e7,BN3,item_447b94f791,Glutamax Glutathione Soap (Double Pack) 135g x 2 - Skin Lightening & Brightening,No,1.0,£13.59,31-Dec-23,GlutaMax,0,Soap,135grams,135g,2,270g,True,2.0
1676.0,22-10424-29908,user_9c725e52,XX1,item_f4823a4913,Extract Papaya Calamansi Facial Face Cleanser 225ml,No,1.0,£7.58,13-Sep-23,Extract,0,Face Wash,225ml,225ml,1,225ml,False,1.0
3555.0,11-10994-51119,user_40a11483,LE5,item_c1b6da5f5f,Silka Papaya Lotion SPF6 200ml - Skin Lightening & Brightening,No,1.0,£9.25,26-Jan-24,Silka,0,Lotion,200ml,200ml,1,200ml,False,1.0
7605.0,12-12091-16509,user_e81cdd07,XX1,item_1860d98fea,Flawlessly U Papaya Calamansi Lotion with PUMP 500ml SPF10 - Philippines,Yes,1.0,£15.51,16-Oct-24,Other,0,Lotion,500ml,500ml,1,500ml,False,1.0
7429.0,26-12019-16169,user_661ce87f,AB16,item_unknown,,,7.0,£71.79,02-Oct-24,Other,20,Other,standard,unknown,1,unknown,False,7.0
2540.0,21-10658-83768,user_ff1bc76c,sn6,item_ad92eb04ec,Kojie San Face Cream 30g - Skin Lightening & Brightening,Yes,1.0,£9.53,11-Nov-23,Kojie San,0,Face Cream,30grams,30g,1,30g,False,1.0
827.0,01-10000-57445,user_ec37bb80,S8,item_e66dec75b7,Kojie San Dream White Anti-Ageing Overnight Face Cream 30g - Skin Lightening,No,2.0,£7.59,24-May-23,Kojie San,10,Face Cream,30grams,30g,1,30g,False,2.0
3475.0,10-10972-61392,user_13d53f99,DN11,item_7a8580cf2e,Kojie San Soap Skin Lightening & Brightening - 65gx2/65gx3/135g/135gx2/100gx3[100g x 3],No,1.0,£9.20,21-Jan-24,Kojie San,0,Soap,135grams,65g,2,130g,True,2.0
3729.0,16-11044-78968,user_94106695,Mk403fl,item_0a0d6e1866,Johnson's REGULAR Baby Cologne 125ml,Yes,1.0,£7.30,08-Feb-24,Other,0,Cologne,125ml,125ml,1,125ml,False,1.0
6253.0,25-11722-75567,user_dfb79525,SL11PP,item_138b01e643,CreamSilk Standout Straight Conditioner 180ml - Cream Silk,Yes,2.0,£8.86,20-Jul-24,Other,10,Conditioner,180ml,180ml,1,180ml,False,2.0
4952.0,25-11405-93406,user_8514e4ec,DN11,item_7a8580cf2e,Kojie San Soap Skin Lightening & Brightening - 65gx2/65gx3/135g/135gx2/100gx3[100g x 3],No,1.0,£9.27,04-May-24,Kojie San,0,Soap,135grams,65g,2,130g,True,2.0
5434.0,19-11530-56607,user_ea747aa0,2150,item_73119af79d,Renew Placenta WHITE Herbal Beauty Soap 135g - Skin Lightening & Brightening,Yes,1.0,£7.97,02-Jun-24,Other,0,Soap,135grams,135g,1,135g,False,1.0
6186.0,11-11719-42685,user_5089910b,L1,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,Yes,1.0,£8.97,16-Jul-24,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
779.0,20-09950-01232,user_4c876198,YO11,item_c32affdad0,Extract Papaya Calamansi Soap 125g - Lightening & Brightening,No,1.0,£6.78,13-May-23,Extract,0,Soap,125grams,125g,1,125g,False,1.0
6826.0,14-11885-24620,user_8e2258ad,XX1,item_e66dec75b7,Kojie San Dream White Kojic Acid Soap 135g x 2 (Double Pack) - Skin Brightening,Yes,1.0,£8.36,27-Aug-24,Kojie San,0,Soap,135grams,135g,2,270g,True,2.0
5856.0,14-11643-33047,user_05243876,IM2,item_c32affdad0,Extract Papaya Calamansi Soap 125g - Philippines - Lightening & Brightening,No,4.0,£5.56,29-Jun-24,Extract,20,Soap,125grams,125g,1,125g,False,4.0
6482.0,02-11801-85134,user_3ad84e0b,GU2,item_914f1c2e5f,Extract Papaya Calamansi Soap 6 x 125g BUNDLE - Philippines - Skin Lightening,Yes,1.0,£30.00,03-Aug-24,Extract,0,Soap,125grams,125g,1,125g,False,1.0
2830.0,13-10733-28087,user_932a5e76,KT3,item_0195bf47b0,Baby Bench Colonia BUBBLE GUM Cologne 200ml,No,1.0,£8.68,27-Nov-23,Other,0,Cologne,200ml,200ml,1,200ml,False,1.0
5629.0,11-11584-24448,user_3cb4b87c,NE8,item_0a0d6e1866,Bench Daily Scent BUBBLE POP Cologne 125ml,Yes,1.0,£7.12,13-Jun-24,Other,0,Cologne,125ml,125ml,1,125ml,False,1.0
9289.0,10-12723-34215,user_a258b4a0,W3,item_227b3899d9,Gluta-C Underarm & Bikini Lightening Gel 20ml - Glutathione & Vitamin C,Yes,1.0,£13.60,15-Mar-25,Gluta-C,0,Sensitive Area Products,20ml,20ml,1,20ml,False,1.0
2227.0,20-10581-49647,user_35ef9253,ub3,item_e66dec75b7,Kojie San Body Lotion + SPF25 250ml - Lightening & Brightening with Hydromoist,No,1.0,£14.35,22-Oct-23,Kojie San,0,Lotion,250ml,250ml,1,250ml,False,1.0
3394.0,02-10960-48382,user_b568f4b9,NW8,item_812f83cac0,Kojie San Dream White Anti-Aging Facial Toner 100ml,Yes,2.0,£8.10,15-Jan-24,Kojie San,10,Face Wash,100ml,100ml,1,100ml,False,2.0
8982.0,16-12574-62645,user_9f163b2d,B5,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,No,1.0,£8.33,09-Feb-25,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
2504.0,24-10661-19185,user_83c7f9d1,SE26,item_unknown,,,3.0,£23.20,08-Nov-23,Other,15,Other,standard,unknown,1,unknown,False,3.0
1971.0,23-10506-53312,user_d024b0bb,M8,item_bbc5f95217,Dr. Kaufmann Sulfur Soap 80g - Dual Skin Protection - Acne & Blemishes,Yes,6.0,£5.01,04-Oct-23,Other,20,Soap,80grams,80g,1,80g,False,6.0
1953.0,11-10509-78329,user_f8201039,HA4,item_c1b6da5f5f,Silka Papaya Lotion 500ml (Large Size) - Skin Brightening,No,1.0,£13.94,03-Oct-23,Silka,0,Lotion,500ml,500ml,1,500ml,False,1.0
5194.0,26-11471-86902,user_cce04d2a,LS10,item_c1b6da5f5f,Silka Papaya Lotion SPF6 200ml - Skin Lightening & Brightening,Yes,1.0,£9.43,20-May-24,Silka,0,Lotion,200ml,200ml,1,200ml,False,1.0
4753.0,19-11361-51151,user_8e7710dd,DH1,item_0195bf47b0,Baby Bench Colonia BUBBLE GUM Cologne 200ml,Yes,1.0,£8.86,23-Apr-24,Other,0,Cologne,200ml,200ml,1,200ml,False,1.0
5978.0,01-11676-62576,user_537254fc,M9,item_eacd302425,Kojie San Soap 100g x 3 (Large Trio Pack) - Skin Brightening & Lightening,No,1.0,£8.72,03-Jul-24,Kojie San,0,Soap,100grams,100g,3,300g,True,3.0
3206.0,02-10880-67280,user_3518c04a,NN15,item_79530622ca,Likas Papaya Soap 135g - Original - Skin Lightening & Brightening,No,1.0,£6.58,29-Dec-23,Likas,0,Soap,135grams,135g,1,135g,False,1.0
6045.0,06-11689-83603,user_a0c3c41e,SE23,item_cb9aa5b976,SkinWhite Glutathione & Vitamin C Soap 90g - Skin Lightening & Brightening,Yes,1.0,£8.11,08-Jul-24,SkinWhite,0,Soap,90grams,90g,1,90g,False,1.0
2255.0,16-10592-33947,user_d5fbd2d4,Dd2,item_7a8580cf2e,Kojie San Soap Skin Lightening & Brightening - 65gx2/65gx3/135g/135gx2/100gx3[135g x 2],Yes,1.0,£7.96,24-Oct-23,Kojie San,0,Soap,135grams,65g,2,130g,True,2.0
